"node","group","degree","betweenness","closeness","eigenvector"
958,"most_changed",5,0.00046165793433676,0.3354600402955,0.0636328795059114
234,"most_changed",8,0.000745554910926951,0.327111984282908,0.0463012449996719
794,"most_changed",6,0.00040113365623952,0.304945054945055,0.0296090513050464
7,"most_changed",78,0.0534477617860226,0.452445652173913,0.740778345287271
286,"most_changed",11,0.00139536715675225,0.342945417095778,0.0804186443881121
991,"least_changed",5,0.000424273754809124,0.325619295958279,0.0488937073299383
992,"least_changed",5,0.000207370494667454,0.300451127819549,0.023301115580648
994,"least_changed",5,0.000248037838510009,0.328943035890682,0.0539409058187361
995,"least_changed",5,0.000244535799080115,0.298208955223881,0.0217549468064011
1000,"least_changed",5,0.000358430282139437,0.327971109652003,0.0576731029429867
