"node","group","degree","betweenness","closeness","eigenvector"
181,"most_changed",10,0.00232543774959197,0.307668617185094,0.390609736645726
305,"most_changed",10,0.00202014505724742,0.316339455351488,0.494182534321141
442,"most_changed",4,0.000283782619078204,0.281329203041397,0.197728507352832
469,"most_changed",11,0.00265917309580443,0.30957545708088,0.40447410167012
576,"most_changed",9,0.00167290781171206,0.308333333333333,0.407364647535631
444,"least_changed",3,0.000256307071246991,0.26303317535545,0.101440547568694
593,"least_changed",2,4.15816576793502e-05,0.248383888612631,0.0588983072871978
638,"least_changed",5,0.000372603090070801,0.279831932773109,0.199684909838637
705,"least_changed",3,0.000200171617543423,0.267112299465241,0.117247715721703
906,"least_changed",1,0,0.24095513748191,0.0455529018298655
