"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.653060000083702,0.0211990244655493,0.0211990244655493,0,0.00299799479082589
"ARI",0.0900473421777233,0.0446508804531045,0.0446508804531045,0,0.00631458807086801
"AMI",0.230942797714652,0.0300971570551988,0.0300971570551988,0,0.00425638076963352
"NID",0.346939999916298,0.0211990244655493,0.0211990244655493,0,0.00299799479082589
"Jaccard",0.251647329825651,0.0204418457807222,0.0204418457807222,0,0.00289091355430366
"proportion.moved",0.68776,0.0264332505510366,0.0264332505510366,0,0.0037382261426882
