"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.994575812820308,0.00641369693735984,0.00636566186256953,0.00078349055879879,0.000900467799132907
"ARI",0.991256192843787,0.0106092871177896,0.0104919576048981,0.00157346711586743,0.00148434295907967
"AMI",0.993815752860231,0.0072975172262316,0.00724280495307302,0.000891927171291402,0.00102454615699722
"NID",0.00542418717969178,0.00641369693734858,0.00636566186256963,0.000783490558705769,0.000900467799132867
"Jaccard",0.987844961521081,0.0149281818927927,0.0148010190177451,0.00194433810348173,0.00209378212326724
"proportion.moved",0.0110506666666667,0.0141092210564886,0.0140036053666656,0.00172312377836172,0.00198090855476551
