"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.10715869113782,0.0130635502312401,0.00218704126142119,0.0128791768046321,0.000454142180041844
"ARI",0.0276359919377669,0.00539099415391921,0.00100280347247922,0.00529690505514066,0.000197020552727655
"AMI",0.0718625143781001,0.0115350607711359,0.00198964177648536,0.0113621720016493,0.000406496563787968
"NID",0.89284130886218,0.0130635502312407,0.00218704126142121,0.0128791768046327,0.000454142180041857
"Jaccard",0.104114892294557,0.00789625460212362,0.0015123112441988,0.00775008073778772,0.000292889410781762
"proportion.moved",0.853912666666667,0.017282453949381,0.00330283936118679,0.0169639166075134,0.000640331633890239
