"node","group","degree","betweenness","closeness","eigenvector"
578,"most_changed",7,0.00132498115505016,0.293219841502788,0.236714640588374
862,"most_changed",10,0.00260917150076157,0.317142857142857,0.473407557542728
473,"most_changed",10,0.00207383656992941,0.3133626097867,0.456171419414871
778,"most_changed",9,0.00212462186470834,0.307290064595509,0.35265957724487
966,"most_changed",8,0.00141052816504827,0.301995163240629,0.328771866649264
192,"least_changed",8,0.0011523347750302,0.294951284322409,0.319795919406653
845,"least_changed",7,0.000887415276250755,0.289481309765285,0.258125769228302
891,"least_changed",6,0.000520697954602524,0.279050279329609,0.194203463376644
482,"least_changed",16,0.00501888120092977,0.323091849935317,0.616355965591261
889,"least_changed",10,0.00198808423651519,0.306347746090156,0.417104640484953
