"node","group","degree","betweenness","closeness","eigenvector"
5,"most_changed",64,0.0379260217392206,0.449392712550607,0.706640342841623
388,"most_changed",10,0.000749320865325368,0.315540113708149,0.0353720177477107
472,"most_changed",6,0.000413694336257608,0.313068003760577,0.0324616802033483
637,"most_changed",7,0.00042920625676064,0.295737122557726,0.0187974310899298
7,"most_changed",78,0.0534477617860226,0.452445652173913,0.740778345287272
995,"least_changed",5,0.000244535799080115,0.298208955223881,0.0217549468064011
417,"least_changed",8,0.00082709514553243,0.335234899328859,0.0677835033552787
864,"least_changed",6,0.000182848087464359,0.287482014388489,0.019906259982685
222,"least_changed",9,0.000904351080594561,0.325938009787928,0.0417865984391439
436,"least_changed",8,0.000858454259377698,0.322258064516129,0.0386876144551749
