"node","group","degree","betweenness","closeness","eigenvector"
297,"most_changed",12,0.00319719870451623,0.317546090273363,0.47554899142129
994,"most_changed",7,0.0010305247767932,0.302635564980309,0.339111630732099
576,"most_changed",9,0.00167290781171206,0.308333333333333,0.407364647535632
240,"most_changed",13,0.00391937775366805,0.327219128725843,0.634060947390784
802,"most_changed",13,0.00331438636797063,0.317546090273363,0.493046909600043
404,"least_changed",11,0.00255342366624264,0.305878750765462,0.398407311362216
215,"least_changed",11,0.00251005779890132,0.314249764076754,0.506306379222691
975,"least_changed",17,0.0075814974450612,0.337386018237082,0.708975769108198
93,"least_changed",9,0.00199026266355729,0.299012271774918,0.325436929594428
444,"least_changed",3,0.000256307071246991,0.26303317535545,0.101440547568694
