"node","group","degree","betweenness","closeness","eigenvector"
177,"most_changed",12,0.00239262535721584,0.34869109947644,0.0858875781763142
326,"most_changed",5,0.000158274237248445,0.335685483870968,0.0681800921585227
375,"most_changed",12,0.00210587168531178,0.353628318584071,0.112932549017398
472,"most_changed",6,0.000413694336257608,0.313068003760577,0.0324616802033483
683,"most_changed",6,0.000474865631877941,0.3375,0.0715001636511209
668,"least_changed",6,0.000320935127270965,0.337386018237082,0.0810132223971768
913,"least_changed",5,0.00018650593537776,0.305038167938931,0.0310474031355986
132,"least_changed",22,0.00553257259906078,0.359611231101512,0.111464729494634
861,"least_changed",5,0.000307537630719785,0.331123632747763,0.0634819193562816
196,"least_changed",7,0.000689427284129247,0.332224808779514,0.0617559657923709
