"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.105909619031952,0.0187107244318667,0.00313310552246407,0.0184465405577946,0.000650520491605097
"ARI",0.0477981173142141,0.015571255325601,0.00249090020519126,0.0153707322071148,0.000530658033985159
"AMI",0.085677323349862,0.0183485684910453,0.00311331416445739,0.0180825120097837,0.000641747090985383
"NID",0.894090380968047,0.0187107244318655,0.00313310552246406,0.0184465405577933,0.000650520491605072
"Jaccard",0.143372571717376,0.018030484023731,0.00302198382643413,0.0177754315807743,0.000627129734212241
"proportion.moved",0.79585,0.0326984382493352,0.00542999668007062,0.0322444258748704,0.00113262200766403
