"node","group","degree","betweenness","closeness","eigenvector"
5,"most_changed",64,0.0379260217392206,0.449392712550607,0.706640342841622
7,"most_changed",78,0.0534477617860226,0.452445652173913,0.740778345287271
63,"most_changed",24,0.00665299226493754,0.373457943925234,0.176600133876247
126,"most_changed",13,0.00299011604830882,0.347357440890125,0.0849367345676838
169,"most_changed",15,0.00292222704887141,0.358836206896552,0.129748864231913
861,"least_changed",5,0.000307537630719785,0.331123632747763,0.0634819193562818
128,"least_changed",8,0.000878749331666707,0.361040838453198,0.166753996304105
668,"least_changed",6,0.000320935127270965,0.337386018237082,0.0810132223971768
913,"least_changed",5,0.00018650593537776,0.305038167938931,0.0310474031355987
196,"least_changed",7,0.000689427284129247,0.332224808779514,0.061755965792371
