"node","mean","sd_total","sd_between","sd_within","se"
"1",0.866,0.340754132307749,0.0588976590397514,0.335625452617117,0.0120197745862205
"2",0.876666666666667,0.328930100990877,0.0603279021872377,0.323350515007407,0.0119370356181911
"3",0.823333333333333,0.381519815493917,0.0713491622084367,0.374788829431544,0.0139806474600199
"4",0.848666666666667,0.35849268723744,0.0653648403828591,0.352483254133362,0.0129723119294582
"5",0.878,0.327372554004831,0.0532865441017986,0.323006707876684,0.0112403145508395
"6",0.866666666666667,0.340062685964643,0.0659828879073858,0.333599893418581,0.0126991110919058
"7",0.84,0.366750763392497,0.0728431359084684,0.359444015112229,0.0138656331378313
"8",0.862666666666667,0.344324900621794,0.0658590537890304,0.337967782816975,0.0127630892603584
"9",0.85,0.357160634478188,0.0564441409101414,0.352672337698575,0.0121093905453659
"10",0.789333333333333,0.407930455146251,0.0777926775491891,0.400444197804832,0.0150976063436939
"11",0.860666666666667,0.346404924737057,0.0619743198956682,0.3408160142299,0.0124198777597708
"12",0.863333333333333,0.343583885858047,0.0552257785940152,0.339116499156263,0.0117330473063467
"13",0.750666666666667,0.432818113385261,0.0909112347716703,0.423162695268223,0.0168723095612893
"14",0.867333333333333,0.339380521423955,0.0751385719099194,0.330958204813438,0.0136359202841416
"15",0.867333333333333,0.339335084127368,0.0640613368209207,0.333233318328832,0.012494267771074
"16",0.862666666666667,0.344309094905242,0.0615889379589514,0.338755893757667,0.0123437291481114
"17",0.810666666666667,0.391929930338045,0.0783734880435847,0.384013888637724,0.0148714217098927
"18",0.896666666666667,0.304486482689445,0.0531331276295747,0.299814757623585,0.0107883507061988
"19",0.879333333333333,0.325840966732096,0.0574949470322424,0.320728337797998,0.0116056519188965
"20",0.855333333333333,0.351883819210577,0.0648074069840786,0.345864456430871,0.0127964115340258
"21",0.799333333333333,0.400646869240482,0.0769279782146882,0.39319206502675,0.0148803542736945
"22",0.871333333333333,0.33495388385327,0.0642451371056468,0.328734948958377,0.0124335512738281
"23",0.862,0.345032779671177,0.0676827332556272,0.338329228218117,0.012958786931274
"24",0.885333333333333,0.318716245822948,0.055598169597434,0.313829394558395,0.0112908099138618
"25",0.83,0.375713983945802,0.0552257785940152,0.371633032857833,0.0123722191421094
"26",0.848666666666667,0.358474975960697,0.0603128653220522,0.353364778474973,0.0124898870656049
"27",0.867333333333333,0.339349785094953,0.0678433569956217,0.332498955721,0.012874708752916
"28",0.864,0.34289814569635,0.0612936872750632,0.3373754914368,0.0122890114930757
"29",0.869333333333333,0.337125369468435,0.0550571749820748,0.332599191553771,0.0115919799209749
"30",0.873333333333333,0.332720525134541,0.0635317336386968,0.32659863237109,0.0123222049444845
"31",0.846666666666667,0.360446938487279,0.0706304617818635,0.353459097114975,0.0135300455106136
"32",0.846,0.361086794925247,0.0705951377177476,0.354118624192515,0.013537853204543
"33",0.83,0.375751401389614,0.066751646518458,0.369774706183824,0.0134265111556971
"34",0.888666666666667,0.314667877318091,0.0623100287477039,0.308436919536772,0.0118774162119973
"35",0.859333333333333,0.34776774380054,0.0560571460932316,0.34322004603461,0.0118903913264321
"36",0.845333333333333,0.361726773274251,0.0711932632039267,0.354651628753877,0.0136096093391516
"37",0.818666666666667,0.385390810862825,0.0610416013674745,0.380525951808809,0.0130787948712199
"38",0.834,0.372233559918033,0.075439753860846,0.364508801905615,0.0142267672726266
"39",0.806,0.395622303216996,0.0874662228294696,0.385832433404278,0.0158824194367714
"40",0.853333333333333,0.353905325746642,0.0683461909257492,0.347243110482811,0.0131836725333408
