"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.99988497216677,0.00039438313836519,0.00039438313836519,0,5.57741983047317e-05
"ARI",0.999835868149715,0.000565294541718374,0.000565294541718374,0,7.99447207633607e-05
"AMI",0.999868088396772,0.000452270634428533,0.000452270634428533,0,6.39607265071915e-05
"NID",0.000115027833229724,0.00039438313836519,0.00039438313836519,0,5.57741983047317e-05
"Jaccard",0.999842339286729,0.00054008421432622,0.00054008421432622,0,7.63794420723758e-05
"proportion.moved",8e-05,0.00027404751561787,0.00027404751561787,0,3.87561713321444e-05
