"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.115845680170112,0.0142893553318701,0.00241790358679213,0.0140833028102581,0.000499150712508149
"ARI",0.0317057676154813,0.00601610738566316,0.00105190765470367,0.00592343129966126,0.000213357805548226
"AMI",0.0807886744178858,0.0125656742739699,0.00206049283987465,0.0123955854729147,0.000432835196898755
"NID",0.884154319829888,0.0142893553318688,0.00241790358679213,0.0140833028102567,0.000499150712508125
"Jaccard",0.108886396925212,0.00863617406779352,0.00154379952254925,0.00849706923376561,0.00030951542184314
"proportion.moved",0.846432666666667,0.0187628882507531,0.00387626939196606,0.0183581183978957,0.000724699681745914
