"node","mean","sd_total","sd_between","sd_within","se"
"1",0.424666666666667,0.494426991462462,0.0815968742454104,0.487647413609464,0.0170790611880677
"2",0.610666666666667,0.487806883464712,0.100664459136943,0.477307261857833,0.0188294489602895
"3",0.522666666666667,0.499661563465247,0.0936631684049085,0.490804328514826,0.0183316222660603
"4",0.634,0.481820997801987,0.0733054987373029,0.476211904279784,0.0160828824558187
"5",0.508,0.500058046517223,0.078118463445371,0.493918571786439,0.0168726679472558
"6",0.692,0.461811478062035,0.0818050334152092,0.454508281308248,0.016479071222608
"7",0.674,0.468882978114511,0.0797643922853048,0.462048578494609,0.0164186811729446
"8",0.652666666666667,0.476247615619459,0.0771046348577911,0.469964537669244,0.0163140105055596
"9",0.685333333333333,0.46456767994739,0.0926211898393464,0.455241083871441,0.017599336893988
"10",0.715333333333333,0.451407473889161,0.0828106054312012,0.443746674478932,0.0163837114693746
"11",0.736,0.440950323969284,0.0816052108069026,0.433333333333333,0.0160739974431367
"12",0.761333333333333,0.426399788983709,0.0747967768231309,0.419788306438164,0.0151450532499581
"13",0.708,0.454822484122643,0.079841112057656,0.447759856272186,0.0161601770643555
"14",0.604,0.48919944784642,0.0812710813397454,0.482401400403348,0.0169481714052983
"15",0.759333333333333,0.427657225997464,0.084994330876707,0.419126074906664,0.016173800936536
"16",0.761333333333333,0.426381707562857,0.0694520177276363,0.420687268380893,0.0146443450011936
"17",0.661333333333333,0.473381237395788,0.0768896491121501,0.467095041482756,0.0162386026080954
"18",0.780666666666667,0.4139155434355,0.0706593501539063,0.407839837844874,0.0145170163660559
"19",0.680666666666667,0.46632251644372,0.0696899515167261,0.46108567533594,0.0154553265957535
"20",0.756,0.429672659246907,0.0879187421169088,0.420581607882333,0.0165081807063745
"21",0.637333333333333,0.481024982733335,0.110787738051169,0.468093058174452,0.019787686376228
"22",0.698666666666667,0.45897154082083,0.078523795085043,0.45220447685631,0.0161135239416176
"23",0.709333333333333,0.454260756027989,0.093080317888538,0.444622186680882,0.0174662962346692
"24",0.761333333333333,0.426392343785629,0.0726436336210472,0.420158700175699,0.0149409115853842
"25",0.744,0.43658850627281,0.085300588955707,0.428174419288838,0.0163629469150893
"26",0.689333333333333,0.462893394621894,0.0766178489947382,0.456508488420533,0.0160105973975034
"27",0.718,0.450091449513507,0.0729084786462,0.444147122772023,0.0154215445491423
