"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.999766926334365,0.0015937658368665,0.00154713559954536,0.000382702207182296,0.000219021030772237
"ARI",0.999612330369643,0.00265103036589552,0.00257477556139922,0.000631262868638312,0.000364492860978722
"AMI",0.999734127388518,0.00181804578585375,0.00176484595198491,0.000436588187223466,0.000249841344686781
"NID",0.000233073665635158,0.00159376583686441,0.00154713559954542,0.000382702207173312,0.000219021030772235
"Jaccard",0.999450298642534,0.00376140812899256,0.00367023632910315,0.000823138142344761,0.000519484743276412
"proportion.moved",0.000528,0.0036137277943183,0.00353420833729827,0.000753923072998831,0.000500191468101871
