"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.924921765923769,0.0187259726105196,0.00337395277999599,0.0184195139145497,0.000673688955773889
"ARI",0.72555375827588,0.075750221611903,0.0141310211505506,0.0744204966087644,0.00277236157793488
"AMI",0.914384631643266,0.0213104018079735,0.00384351738061595,0.0209609303076506,0.000767046011229701
"NID",0.0750782340762313,0.0187259726105191,0.00337395277999597,0.0184195139145492,0.000673688955773878
"Jaccard",0.770854552215925,0.0446507312843461,0.00930155030859401,0.0436711456923628,0.00173257690745755
"proportion.moved",0.205531333333333,0.0437786470176258,0.00857394251493635,0.0429308449071811,0.0016428495877443
