"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.556175380892952,0.047902056221444,0.047902056221444,0,0.00677437375739246
"ARI",0.0693787428790333,0.033065042882045,0.033065042882045,0,0.00467610320842361
"AMI",0.218433049746332,0.0312393158583035,0.0312393158583035,0,0.00441790641660697
"NID",0.443824619107048,0.047902056221444,0.047902056221444,0,0.00677437375739246
"Jaccard",0.188107290816764,0.0258644777443323,0.0258644777443323,0,0.00365778952097318
"proportion.moved",0.75122,0.0315906793280576,0.0315906793280576,0,0.00446759671503184
