"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.103784082543498,0.0180111867023221,0.00322015702062278,0.0177209885499777,0.000645557006164663
"ARI",0.0463272701321193,0.0147708967220046,0.00326409542987344,0.0144057304916066,0.000592820737523256
"AMI",0.0836026609358047,0.0175351732176608,0.00321644330508583,0.0172376562281111,0.00063639716020919
"NID",0.896215917456502,0.0180111867023222,0.00322015702062277,0.0177209885499777,0.000645557006164664
"Jaccard",0.14191945373911,0.0171863183827512,0.00371546827207326,0.0167798937741723,0.000681031555556715
"proportion.moved",0.799189333333333,0.0310887463507279,0.00637964250947911,0.0304271311679419,0.00119632923773063
