"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.124808327793294,0.0155841806442356,0.00257146041993159,0.0153705653006288,0.000538285264148503
"ARI",0.039241834915504,0.00722139408729395,0.00119465556643508,0.00712189094564005,0.000249716356845147
"AMI",0.0936338194341146,0.01430155234008,0.00238046730487665,0.014102048601053,0.000495894150287512
"NID",0.875191672206706,0.0155841806442354,0.00257146041993159,0.0153705653006285,0.000538285264148499
"Jaccard",0.117625370007501,0.00991091200317786,0.00176648305885256,0.00975221586807439,0.000354701363829644
"proportion.moved",0.835182,0.0201710380150168,0.0038072207919597,0.0198084791047804,0.000742618677028092
