"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.575840110242228,0.0485476722193444,0.0485476722193444,0,0.00686567764742404
"ARI",0.104684757325728,0.0419758263820104,0.0419758263820104,0,0.00593627829612575
"AMI",0.252628277297996,0.0386287046969846,0.0386287046969846,0,0.0054629238079381
"NID",0.424159889757772,0.0485476722193444,0.0485476722193444,0,0.00686567764742405
"Jaccard",0.209638217611976,0.0238831866042276,0.0238831866042276,0,0.00337759264083861
"proportion.moved",0.7233,0.0293551441794435,0.0293551441794435,0,0.00415144430239867
