"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.997181820021625,0.00498166854441548,0.00161006269539003,0.00471431008773628,0.000258190854596531
"ARI",0.995047921167917,0.00918944800679725,0.0029968439265568,0.00868705250067533,0.00047951161734533
"AMI",0.996787158179585,0.00567652930667817,0.00183476669837169,0.00537183545281521,0.000294219511312823
"NID",0.00281817997837506,0.00498166854442028,0.00161006269539008,0.00471431008774134,0.000258190854596598
"Jaccard",0.993356063307336,0.0120642251213451,0.0041684733469117,0.0113211906500413,0.000658004285220078
"proportion.moved",0.006138,0.0111217765999515,0.0039934868174881,0.0103800760005781,0.000625131499031106
