"node","mean","sd_total","sd_between","sd_within","se"
"1",0.58,0.49856938190329,0.49856938190329,0,0.0705083581671604
"2",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"3",0.84,0.370328039909021,0.370328039909021,0,0.0523722936566382
"4",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"5",0.94,0.239897937482095,0.239897937482095,0,0.0339266916772512
"6",0.76,0.4314191105869,0.4314191105869,0,0.0610118757258932
"7",0.92,0.27404751561787,0.27404751561787,0,0.0387561713321444
"8",0.76,0.4314191105869,0.4314191105869,0,0.0610118757258932
"9",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"10",0.54,0.503457433905888,0.503457433905888,0,0.0711996331107264
"11",0.8,0.404061017820884,0.404061017820884,0,0.0571428571428571
"12",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"13",0.8,0.404061017820884,0.404061017820884,0,0.0571428571428571
"14",0.88,0.328260722659316,0.328260722659316,0,0.0464230765979198
"15",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"16",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"17",0.52,0.504672049504448,0.504672049504448,0,0.0713714056959817
"18",0.56,0.501426536422407,0.501426536422407,0,0.0709124208342335
"19",0.62,0.490314351478015,0.490314351478015,0,0.0693409205686377
"20",0.56,0.501426536422407,0.501426536422407,0,0.0709124208342335
"21",0.74,0.443087497693452,0.443087497693452,0,0.0626620348556037
"22",0.98,0.14142135623731,0.14142135623731,0,0.02
"23",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"24",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"25",0.58,0.49856938190329,0.49856938190329,0,0.0705083581671604
"26",0.68,0.471212071499161,0.471212071499161,0,0.0666394502268034
"27",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"28",0.64,0.484873221385061,0.484873221385061,0,0.0685714285714286
"29",0.74,0.443087497693452,0.443087497693452,0,0.0626620348556037
"30",0.92,0.27404751561787,0.27404751561787,0,0.0387561713321444
"31",0.74,0.443087497693452,0.443087497693452,0,0.0626620348556037
"32",0.6,0.494871659305394,0.494871659305394,0,0.0699854212223765
"33",0.62,0.490314351478015,0.490314351478015,0,0.0693409205686377
"34",0.8,0.404061017820884,0.404061017820884,0,0.0571428571428571
"35",0.76,0.4314191105869,0.4314191105869,0,0.0610118757258932
"36",0.72,0.453557367611073,0.453557367611073,0,0.0641426980589819
"37",0.52,0.504672049504448,0.504672049504448,0,0.0713714056959817
"38",0.48,0.504672049504448,0.504672049504448,0,0.0713714056959817
"39",0.84,0.370328039909021,0.370328039909021,0,0.0523722936566382
"40",0.88,0.328260722659316,0.328260722659316,0,0.0464230765979198
"41",0.94,0.239897937482095,0.239897937482095,0,0.0339266916772512
"42",0.6,0.494871659305394,0.494871659305394,0,0.0699854212223765
"43",0.76,0.4314191105869,0.4314191105869,0,0.0610118757258932
"44",0.62,0.490314351478015,0.490314351478015,0,0.0693409205686377
"45",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"46",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"47",0.76,0.4314191105869,0.4314191105869,0,0.0610118757258932
"48",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
