"node","group","degree","betweenness","closeness","eigenvector"
297,"most_changed",12,0.00319719870451623,0.317546090273363,0.475548991421289
218,"most_changed",14,0.00424523715776697,0.324561403508772,0.620634486059218
525,"most_changed",10,0.0022907455344652,0.313953488372093,0.412058906551718
996,"most_changed",16,0.00605274647303705,0.33887381275441,0.764184932001469
132,"most_changed",13,0.00396832972904798,0.322154143824573,0.55604126378664
575,"least_changed",9,0.00177732100168573,0.308333333333333,0.384356089295758
93,"least_changed",9,0.00199026266355729,0.299012271774918,0.325436929594429
891,"least_changed",6,0.000520697954602524,0.279050279329609,0.194203463376644
404,"least_changed",11,0.00255342366624264,0.305878750765462,0.398407311362217
215,"least_changed",11,0.00251005779890132,0.314249764076754,0.506306379222692
