"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.0932730651460612,0.0164230900191349,0.00336013790154399,0.0160756760062902,0.000630948048881464
"ARI",0.0396830973327181,0.0125678081542407,0.0027940951185824,0.0122532785110808,0.000506196180823663
"AMI",0.0728297716747211,0.0157317128450644,0.00330279857215532,0.0153811023867385,0.000613097416336788
"NID",0.906726934853939,0.0164230900191355,0.00336013790154399,0.0160756760062909,0.000630948048881475
"Jaccard",0.134938868556978,0.0154922509106516,0.00324735092809588,0.0151480873455489,0.00060322643163494
"proportion.moved",0.810179333333333,0.0292394404374897,0.00601264310411867,0.0286145592312725,0.00112645441183837
