"node","group","degree","betweenness","closeness","eigenvector"
274,"most_changed",11,0.00134101670372388,0.329485488126649,0.0531801175928286
516,"most_changed",7,0.000510320703892202,0.302819036071537,0.0241438498386541
260,"most_changed",11,0.00142223912346394,0.340143003064351,0.0870278133256826
286,"most_changed",11,0.00139536715675225,0.342945417095778,0.0804186443881123
490,"most_changed",10,0.00122234548534364,0.352629721143664,0.125815546021138
44,"least_changed",26,0.0090085768766754,0.381734810852121,0.215174149560611
313,"least_changed",11,0.00170653514427023,0.344601586754053,0.0882476358922987
884,"least_changed",5,0.000405056753496127,0.335122442133512,0.0628407898098324
752,"least_changed",7,0.00055301761562457,0.321532024460895,0.0452538749360062
219,"least_changed",12,0.00223182376227866,0.355263157894737,0.105050971474065
