"metric","mean","sd_total","sd_between","sd_within","se"
"NMI",0.999725705146851,0.000591497703894835,0.000591497703797232,1.07453801496744e-08,8.36504074827191e-05
"ARI",0.999573852895501,0.000935787832130604,0.000935787832073656,1.03238273118071e-08,0.000132340384362497
"AMI",0.999685443714161,0.000678318663221534,0.000678318663147882,9.99600281193758e-09,9.59287453037993e-05
"NID",0.000274294853149237,0.000591497703797155,0.000591497703797155,9.20343928786571e-12,8.36504074822481e-05
"Jaccard",0.999646332017189,0.000762536670970583,0.000762536670937096,7.14634585874188e-09,0.000107838970184765
"proportion.moved",0.00018,0.000388087934491604,0.000388087934491604,0,5.48839220351387e-05
